mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
4.1345e+06,0.39688,0.28399,485.53,1,1000,1.3863,1.0023e+05,9.8068e-06,4.4289e+08,20.181,3.7954e+06,2.4159,1.9013,1.9745,13925,77,13925
4.6257e+06,0.46568,0.15238,190.55,1,1000,1.3863,1.1467e+05,0.00039179,3.3586e+08,0.00034624,7.7543e+06,0.9932,0.84609,0.39462,3.4198e+05,78,3.4198e+05
4.2333e+06,0.62398,0.00056019,147.68,1,1000,1.3863,3.0461e+05,2.4219e-05,7.0152e+08,44.076,2.8764e+06,0.024931,3.4988,1.4712,70006,79,70007
3.2054e+06,0.33017,0.28182,3.3721,1,1000,1.3863,4.6215e+05,0.06176,5.3632e+08,5.3985,5.1356e+06,0.38246,1.497,3,50834,80,50834
3.3204e+06,0.93486,0.37687,598.34,1,1000,1.3863,2.5137e+05,10000,3.2668e+08,49.953,3.4101e+06,1.4549,1.9805,2.9955,9.7947e+09,81,9.7948e+09
4.7532e+06,0.3171,0.97922,417.74,1,1000,1.3863,4637,1924.5,5.0741e+08,42.323,8.0011e+05,0.13152,4.9879,2.4211,8.962e+08,82,8.962e+08
4.5675e+06,0.71286,0.99846,332,1,1000,1.3863,39677,723.75,9.0034e+08,79.755,63764,2.917,4.3238,2.4354,6.8514e+09,83,6.8514e+09
3.0568e+06,0.99574,0.90809,600,1,1000,1.3863,4.601e+05,5.3495,2.9455e+07,99.138,7.0527e+05,3,3.2836,2.7089,63683,84,63683
3.4797e+06,0.60379,0.45031,483.16,1,1000,1.3863,30012,6615.8,3.4408e+08,60.814,7.7009e+06,0.38554,3.1857,2.01,1.0018e+09,85,1.0018e+09
3.4141e+06,0.454,0.45031,539.73,1,1000,1.3863,4.7056e+05,1314.6,2.5575e+08,95.111,6.3822e+06,1.1349,4.9687,1.7048,1.3737e+07,86,1.3737e+07
4.5834e+06,0.74116,0.45031,194.05,1,1000,1.3863,2.5207e+05,3581.2,7.6846e+08,15.825,6.1668e+06,2.3531,0.14459,0.26221,3.7378e+11,87,3.7379e+11
3.0604e+06,0.53323,0.00063286,0.055369,1,1000,1.3863,1.5872e+05,644.4,8.7683e+08,57.781,2.99e+06,3,3.7046,2.8877,5042.3,88,5042.3
