Population,Hour,SimulationValue,CellValue,RsquareValue,PctContribution
ActTCT,96,35078.0491357371,91849.4577206108,0.382037633835405,0.000425125752275991
ActTCT,96,35078.0491357371,23740.4891076976,0.22806564765492,0.000253788034058921
ActTCT,96,35078.0491357371,24056.6328851141,0.209896466896176,0.00023356964206242
ActTCT,168,117802.32396181,77262.6907810142,0.275308722650933,0.000306359419751681
ActTCT,168,117802.32396181,107530.683340992,0.00912462070959376,1.01537411496753e-05
ActTCT,168,117802.32396181,98928.9703583461,0.0363957920896638,4.0500691872846e-05
ActTCT,168,117802.32396181,110018.118039804,0.00500610793413645,5.57072186870334e-06
ActTCT,216,255803.791560813,36785.3901043061,35.4495296810163,0.0394477052487584
ActTCT,216,255803.791560813,45400.101127312,21.477961793088,0.023900353933653
ActTCT,216,255803.791560813,74246.6389465991,5.97961371221173,0.00665402450591834
ActTCT,216,255803.791560813,48962.1042757066,17.8466207456747,0.0198594520490566
ActTCT,288,749396.235865498,740884.078835805,0.000132001458321656,1.46889244148913e-07
ActTCT,288,749396.235865498,473325.429198935,0.340189804567069,0.000378558115155499
ActTCT,288,749396.235865498,4573735.65966353,0.699150607507436,0.000778004315927866
ActTCT,336,1371650.38524674,1229730.76744384,0.0133187905002585,1.48209504230889e-05
ActTCT,336,1371650.38524674,270847.624388558,16.5184372838922,0.0183814694019489
ActTCT,336,1371650.38524674,442002.314205503,4.42372436118724,0.00492265415852093
ActTCT,336,1371650.38524674,6872589.10985648,0.640667738906091,0.000712925456393006
ActTCT,336,1371650.38524674,3218595.57899808,0.329287462889838,0.000366426152760664
ActTCT,336,1371650.38524674,1229730.76744384,0.0133187905002585,1.48209504230889e-05
ActTCT,336,1371650.38524674,270847.624388558,16.5184372838922,0.0183814694019489
ActTCT,336,1371650.38524674,442002.314205503,4.42372436118724,0.00492265415852093
ActTCT,336,1371650.38524674,6872589.10985648,0.640667738906091,0.000712925456393006
ActTCT,336,1371650.38524674,3218595.57899808,0.329287462889838,0.000366426152760664
ActTCT,336,1371650.38524674,1229730.76744384,0.0133187905002585,1.48209504230889e-05
ActTCT,336,1371650.38524674,270847.624388558,16.5184372838922,0.0183814694019489
ActTCT,336,1371650.38524674,442002.314205503,4.42372436118724,0.00492265415852093
ActTCT,336,1371650.38524674,6872589.10985648,0.640667738906091,0.000712925456393006
ActTCT,336,1371650.38524674,3218595.57899808,0.329287462889838,0.000366426152760664
ActTCT,432,2841252.9435093,4877140.22074996,0.17425167952139,0.000193904656978903
ActTCT,432,2841252.9435093,2247201.00569559,0.0698819463909025,7.77635824295321e-05
ActTCT,432,2841252.9435093,7071893.33527681,0.357882794383403,0.000398246609009278
ActTCT,432,2841252.9435093,4895452.20727274,0.176075734353468,0.000195934437853878
ActTCT,432,2841252.9435093,1726984.94560519,0.416295974847821,0.000463247920629975
ActTCT,432,2841252.9435093,4877140.22074996,0.17425167952139,0.000193904656978903
ActTCT,432,2841252.9435093,2247201.00569559,0.0698819463909025,7.77635824295321e-05
ActTCT,432,2841252.9435093,7071893.33527681,0.357882794383403,0.000398246609009278
ActTCT,432,2841252.9435093,4895452.20727274,0.176075734353468,0.000195934437853878
ActTCT,432,2841252.9435093,1726984.94560519,0.416295974847821,0.000463247920629975
ActTCT,432,2841252.9435093,4877140.22074996,0.17425167952139,0.000193904656978903
ActTCT,432,2841252.9435093,2247201.00569559,0.0698819463909025,7.77635824295321e-05
ActTCT,432,2841252.9435093,7071893.33527681,0.357882794383403,0.000398246609009278
ActTCT,432,2841252.9435093,4895452.20727274,0.176075734353468,0.000195934437853878
ActTCT,432,2841252.9435093,1726984.94560519,0.416295974847821,0.000463247920629975
TregCT,96,726.532559314243,3893.05870076964,0.66158286894916,0.000736199499591956
TregCT,96,726.532559314243,914.537668310421,0.0422606435677478,4.70270106848864e-05
TregCT,96,726.532559314243,1168.85755185413,0.143205528203899,0.000159356965167449
TregCT,168,2506.84666233139,9096.92563539811,0.524797731519995,0.000583987049038454
TregCT,168,2506.84666233139,5294.56298652606,0.277227888990902,0.000308495039286938
TregCT,168,2506.84666233139,3163.60144430718,0.0430965948521104,4.79572447434081e-05
TregCT,168,2506.84666233139,3899.37774585119,0.127532002384327,0.000141915700577967
TregCT,216,5603.96431395689,2681.96528231303,1.1870085085361,0.0013208852753151
